GNAA	"rRNA gene, 18S": 2, "tRNA-Gly": 1, "rRNA 16S": 21, "rRNA 28S": 5, "Ribozyme, P4-P6 RNA Ribozyme Domain; Synthetic": 1, "Riboswitch, cobalamin riboswitch aptamer domain": 1, "Myotonic Dystrophy Type 2 RNA": 1, "Core ENE hairpin": 1, "rRNA 21S (Mitochondrial)": 2, "23S Ribosomal RNA": 9, "toxic CUG RNA (synthetic)": 1, "Lysine Riboswitch RNA": 1, "Riboswitch, THF": 1, "RNA (2732-MER)": 6, "Dead-box": 1, "rRNA 18S": 13, "rRNA 23S": 28, "MALAT1": 1, "rRNA 25S": 6, "SRP RNA": 3, "K-Turn, SAM-I RIBOSWITCH": 5, "Riboswitch, PreQ1-II": 1, "Ribozyme, Ribonuclease P": 6, "Group II Self-splicing intron, ai5g": 1, "K-Turn, HMKT-7": 1, "Riboswitch, ydaO": 1, "viral IRES RNA": 1, "Ribozyme, hammerhead": 2, "Group II intron": 8, "L1 Ribozyme RNA Ligase": 3, "bacterial SRP Alu domain": 1, "L1 Ribozyme Ligase": 3, "K-Turn, C/D RNA": 1, "Group IIC intron": 1, "Fluoride riboswitch": 1, "Box C/D small nucleolar": 1, "7S RNA of human SRP": 1, "selenocysteine tRNA": 1, "Adenosylcobalamin riboswitch": 1, "Rhinovirus": 1, "The hepatitis delta virus ribozyme": 1, "C-di-GMP riboswitch": 1, "NiCo riboswitch RNA (synthetic)": 1, "Group I ribozyme": 4, "tRNA aminoacylation, by ribozyme": 1, "ZIKV xrRNA structure": 2, "ASH1 mRNA E3-localization element": 1, "tRNA functional maturation": 1, "CRISPR-Cas9, Single-guide RNA": 2, "RNAs with 5'-triphosphate (synthetic)": 1, "RIBONUCLEASE P RNA": 1, "riboswitch, yybP-ykoY": 3, "Riboswitch, C-di-AMP": 1, "TRNA (PHE)": 1, "Riboswitch, SAM-I/IV": 1, "Riboswitch, PreQ1-II ": 1, "CRISPR-Cas9 R-loop complex": 2, "Sarcin Ricin, rRNA 23S": 1, "Group I Intron": 1, "rRNA 5S": 1, "Riboswitch, S-Adenosylhomocysteine": 1, "Box C/D small nucleolar, RNA (34-MER)": 1, "RNA (99-MER)": 2, "YitJ S box/SAM-I riboswitch": 1, "Sarcin-ricin, rRNA, 28S": 1, "rRNA 4.5S": 1, "rRNA 26S": 11, "tRNA(Sec)": 1, "Cas9-sgRNA-DNA complex (synthetic)": 2, "kink turn": 1, "RIBONUCLEASE P": 2, "SRP RNA (signal recognition particle)": 1, "Riboswitch, SAM-III/S(MK)": 2, "VS ribozyme RNA": 1, "ASH1 mRNA": 4, "U4 snRNP core, GAAA tetraloop": 2, "CTE of Mason-Pfizer monkey virus RNA": 1, "M-box riboswitch": 1, "CRISPR-Cas9, Guide RNA": 2, "c-di-GMP riboswitch": 1, "Riboswitch, L-glutamine (58-MER)": 2, "Riboswitch": 3, "AUUCU Repeating RNA": 1, "hepatitis C virus": 1, "Ribonuclease (RNase) P": 1, "ribozyme-inhibitor complex": 1, "SAM-I riboswitch aptamer": 1, "Riboswitch a pseudo-dimeric RNA": 1, "XRN1-resistant flaviviral RNA": 1, "Riboswitch, ykkC": 1, "CRISPR-Cas9, sgRNA (synthetic)": 1, "rRNA 23S fragment": 1
GNGA	"rRNA 23S": 16, "rRNA 25S": 3, "RNA (2732-MER)": 6, "rRNA 28S": 5, "Riboswitch, SAM-I/IV": 2, "rRNA 5S": 4, "rRNA 16S": 4, "Group IIC intron": 1, "s2m RNA": 1, "rRNA 26S": 4, "rRNA 21S (Mitochondrial)": 2, "glmS ribozyme RNA": 1, "Riboswitch, THF": 1, "23S Ribosomal RNA": 5, "16S mitochondrial rRNA": 1, "glmS ribozyme (synthetic)": 1, "archaeal tRNA": 1, "SRP RNA": 1, "Lysine Riboswitch RNA": 1, "rRNA 18S": 1, "CRISPR-Cas": 1, "CRISPRs": 1
T-loop	"tRNA, glutamyl-tRNA synthetase": 1, "Riboswitch, Cobalamin riboswitch aptamer domain": 1, "tRNA": 7, "tRNA, selenocysteine tRNA": 1, "tRNA, 71-mer": 2, "tRNA, 35-mer": 1, "tRNA, HIV-1 Reverse Transcription Primer": 1, "glyQS T box riboswitch": 1, "tRNA, SERYL-TRNA SYNTHETASE": 1, "tRNA, ILE-TRNA SYNTHETASE": 1, "tRNA, bacterial tRNA": 2, "tRNA-LEU UAA ISOACCEPTOR": 1, "Riboswitch, FMN": 6, "rRNA 23S": 8, "tmRNA (63-MER)": 1, "tRNA 75-mer": 1, "tRNA, Tyrosyl-tRNA synthetase": 2, "tRNA, methionyl-tRNA synthetase, 75-mer": 1, "mRNA": 1, "tRNA, Arginyl": 1, "rRNA 16S": 3, "tRNA, cysteinyl-tRNA synthetase": 1, "rRNA 18S": 6, "23S Ribosomal RNA": 3, "tRNAGln": 1, "tRNA, Cysteinyl": 1, "rRNA 26S": 2, "tRNA-Arg": 1, "tRNA, tRNAphe": 1, "Adenosylcobalamin riboswitch": 2, "tRNA, Leucyl-tRNA synthetase": 1, "TRNA (PHE)": 1, "tRNA, Archaeosine tRNA-Guanine Transglycosylase": 1, "tRNA-glycine": 1, "tRNA (34-MER)": 1, "T-RNA (76-MER)": 1, "tRNA-Gly": 1, "tRNA, Leucyl-tRNA synthetase complex": 1, "tRNA-Asn": 1, "selenocysteine tRNA": 1, "tRNA, GLUTAMINYL-TRNA SYNTHETASE": 1, "tRNA, THREONYL-TRNA SYNTHETASE": 1, "RNA (2732-MER)": 2, "tRNA functional maturation": 1, "tRNA 78-mer": 1, "tRNA (THR)": 1, "tRNA 74-mer": 1, "T box RNA": 1, "tRNA, leucyl tRNA": 1, "RNase P RNA": 1, "rRNA 25S": 2, "tRNA, with TLP": 1, "Group IIC intron": 1, "Riboswitch, cobalamin riboswitch aptamer domain": 1, "rRNA 28S": 1, "tRNA(Sec)": 1, "archaeal tRNA": 1, "tRNA CCA-acceptor": 1, "tRNA, tryptophanyl-tRNA synthetase": 1, "tRNA, tryptophanyl-tRNA synthetase complex, 72-mer": 1, "tRNA, Valyl-tRNA synthetase": 1, "tRNA (76-MER)": 3, "tRNA(his)": 1, "tRNA E-SITE": 1, "tmRNA DELA": 1, "rRNA": 1, "tRNA Glu": 2, "tRNA 62-mer": 1, "tRNA-fMet P-SITE": 1, "tRNA Phe": 1, "Group II intron": 1, "tRNA, tRNATrp": 1, "tRNA, LeuRS-tRNA-LeuAMS": 1, "T-BOX RIBOSWITCH STEM I": 1, "Ribozyme, hammerhead (synthetic)": 1, "tRNA(Gly)": 1, "ribonuclease P RNA": 1, "tRNA-Gly-CCC-2-2": 1, "tRNA, Human MenBeta minihelix ending in CCACC": 1
C-loop	"Threonyl-tRNA synthetase mRNA": 1, "rRNA 23S": 10, "rRNA 21S (Mitochondrial)": 1, "rRNA 28S": 2, "23S Ribosomal RNA": 4, "rRNA 18S": 5, "rRNA 26S": 4, "rRNA 25S": 1, "RNA (2732-MER)": 5, "rRNA 16S": 3, "T box RNA": 1, "rRNA 16S Fragment": 1, "rRNA 5S": 3, "RIBONUCLEASE P": 1, "glyQS T box riboswitch": 1
E-loop	"rRNA 18S": 10, "SRP RNA": 1, "rRNA 23S": 16, "23S Ribosomal RNA": 5, "rRNA 16S": 4, "7S RNA of human SRP": 1, "RNA (2732-MER)": 4, "16S mitochondrial rRNA": 1, "ribonuclease P RNA": 2, "Riboswitch": 1, "rRNA 26S": 1, "RNase P RNA": 1, "c-di-GMP riboswitch": 1, "C-di-GMP riboswitch": 1
Hook-turn	"rRNA 4.5S": 1, "rRNA 23S": 10, "rRNA 18S": 1, "rRNA 21S (Mitochondrial)": 2, "rRNA 28S": 5, "rRNA 26S": 4, "23S Ribosomal RNA": 5, "RNA (2732-MER)": 3, "rRNA 25S": 2, "Group IIC intron": 1
L1-complex	"rRNA 23S fragment": 1, "L1-mRNA Complex, 36-MER": 1, "rRNA 23S": 1, "protein L1 in complex": 1, "mRNA for L1, 49 nt fragemnt": 1, "L1-operon, Fragment of mRNA": 1
Kink-turn	"rRNA 23S": 12, "rRNA 26S": 4, "kink turn": 1, "rRNA 25S": 4, "c-di-GMP-II riboswitch": 1, "YitJ S box/SAM-I riboswitch": 1, "rRNA 16S": 6, "rRNA 18S": 8, "Box C/D small nucleolar": 1, "RNA (2732-MER)": 3, "U4atac snRNA": 1, "rRNA 28S": 6, "U4 snRNP": 1, "K-Turn, C/D RNA": 1, "K-Turn, SAM-I RIBOSWITCH": 2, "23S Ribosomal RNA": 3, "CTE of Mason-Pfizer monkey virus RNA": 1, "Spliceosomal RNP complex": 1, "protein L1 in complex": 1, "T-BOX RIBOSWITCH STEM I": 1, "Adenosylcobalamin riboswitch": 2, "SAM-I riboswitch aptamer": 1, "Box C/D small nucleolar, RNA (34-MER)": 1, "K-Turn, HMKT-7": 2, "rRNA 21S (Mitochondrial)": 1
reverse-Kink-turn	"rRNA 25S": 1, "RNA (2732-MER)": 1, "23S Ribosomal RNA": 1, "rRNA 28S": 2, "rRNA 23S": 1, "rRNA 26S": 1, "rRNA 21S (Mitochondrial)": 1
Rope-sling	"rRNA 18S": 3, "23S Ribosomal RNA": 1, "rRNA 26S": 1, "RNA (2732-MER)": 1, "rRNA 23S": 3, "rRNA 28S": 1, "rRNA 16S": 2
