Motif	FamilyName	ClusterLabel
5J7L_DA:863-867_908-911	IL_C-loop	0
5J7L_DA:2679-2683_2724-2726	IL_C-loop	-1
5J7L_DA:856-861_914-919	IL_C-loop	0
5J7L_DA:1845-1848_1892-1893	IL_C-loop	-1
5J7L_DA:1356-1360_1369-1373	IL_E-loop	-1
5J7L_DA:701-706_723-729	IL_E-loop	-1
5J7L_DA:1473-1477_1512-1516	IL_E-loop	-1
5J7L_DA:23-28_510-515	IL_E-loop	1
5J7L_DA:1719-1723_1735-1739	IL_E-loop	-1
5J7L_DA:605-609_617-621	IL_E-loop	2
5J7L_DA:997-1001_1152-1156	IL_Hook-turn	3
5J7L_DA:2737-2741_2761-2765	IL_Hook-turn	-1
5J7L_DA:1416-1420_1576-1580	IL_Hook-turn	-1
5J7L_DA:81-84_96-103	IL_L1-complex	-1
5J7L_DA:1207-1214_1233-1237	IL_Kink-turn	1
5J7L_DA:1042-1049_1108-1111	IL_Kink-turn	-1
5J7L_DA:1797-1803_1812-1820	IL_Kink-turn	-1
5J7L_DA:1023-1029_1123-1139	IL_reverse-Kink-turn	3
5J7L_DA:1003-1010_1149-1150	IL_Rope-sling	3
5J7L_DA:1262-1268_2010-2015	IL_Sarcin-ricin	-1
5J7L_DA:2846-2851_2864-2868	IL_Sarcin-ricin	-1
5J7L_DA:238-244_252-257	IL_Sarcin-ricin	2
5J7L_DA:1711-1717_1741-1745	IL_Sarcin-ricin	-1
5J7L_DA:187-192_201-207	IL_Sarcin-ricin	2
5J7L_DA:673-677_798-805	IL_Sarcin-ricin	2
5J7L_DA:2652-2657_2662-2666	IL_Sarcin-ricin	4
5J7L_DA:2466-2469_2479-2482	IL_Tandem-shear	3
5J7L_DA:535-538_553-556	IL_Tandem-shear	-1
5J7L_DA:2349-2352_2363-2366	IL_Tandem-shear	-1
5J7L_DA:1525-1528_1541-1545	IL_Tandem-shear	-1
5J7L_DA:1863-1866_1873-1877	IL_Tandem-shear	5
5J7L_DA:2373-2378	HL_GNAA	-1
5J7L_DA:1221-1226	HL_GNAA	-1
5J7L_DA:2657-2662	HL_GNAA	4
5J7L_DA:628-633	HL_GNAA	-1
5J7L_DA:2355-2360	HL_GNAA	-1
5J7L_DA:1362-1367	HL_GNAA	2
5J7L_DA:1629-1635	HL_GNGA	-1
5J7L_DA:461-466	HL_GNGA	-1
5J7L_DA:2855-2860	HL_GNGA	-1
5J7L_DA:486-492	HL_GNGA	6
5J7L_DA:2593-2598	HL_GNGA	-1
5J7L_DA:245-251	HL_GNGA	2
5J7L_DA:1867-1872	HL_GNGA	5
5J7L_DA:1280-1288	HL_T-loop	6
5J7L_DA:304-311	HL_T-loop	1
