Motif	FamilyName	ClusterLabel
5J7L_AA:596-597_639-642	IL_C-loop	-1
5J7L_AA:778-782_798-802	IL_E-loop	-1
5J7L_AA:579-583_756-760	IL_E-loop	-1
5J7L_AA:514-520_527-535	IL_Kink-turn	0
5J7L_AA:241-246_276-283	IL_Kink-turn	1
5J7L_AA:683-687_698-705	IL_Kink-turn	-1
5J7L_AA:503-510_539-540	IL_Rope-sling	0
5J7L_AA:408-415_426-432	IL_Sarcin-ricin	0
5J7L_AA:886-893_904-909	IL_Sarcin-ricin	1
5J7L_AA:1415-1418_1480-1483	IL_Tandem-shear	1
5J7L_AA:157-162	HL_GNAA	-1
5J7L_AA:861-866	HL_GNAA	2
5J7L_AA:378-383	HL_GNAA	-1
5J7L_AA:725-730	HL_GNAA	-1
5J7L_AA:295-300	HL_GNAA	-1
5J7L_AA:185-190	HL_GNAA	-1
5J7L_AA:1075-1080	HL_GNAA	2
5J7L_AA:1264-1269	HL_GNAA	3
5J7L_AA:896-901	HL_GNAA	-1
5J7L_AA:1164-1170	HL_GNGA	-1
5J7L_AA:320-331	HL_T-loop	-1
5J7L_AA:1313-1322	HL_T-loop	3
