Motif	FamilyName	ClusterLabel
7RQB_1A:903-907_959-963	IL_C-loop	-1
7RQB_1A:1363-1367_1375-1377	IL_C-loop	0
7RQB_1A:909-913_953-956	IL_C-loop	-1
7RQB_1A:2690-2694_2736-2738	IL_C-loop	-1
7RQB_1A:1885-1889_1902-1906	IL_E-loop	-1
7RQB_1A:22-27_534-539	IL_E-loop	1
7RQB_1A:1401-1405_1414-1418	IL_E-loop	2
7RQB_1A:627-631_641-645	IL_E-loop	2
7RQB_1A:747-752_769-775	IL_E-loop	-1
7RQB_1A:2749-2753_2773-2777	IL_Hook-turn	-1
7RQB_1A:1042-1046_1197-1201	IL_Hook-turn	3
7RQB_1A:1461-1465_1622-1626	IL_Hook-turn	-1
7RQB_1A:1395-1399_1420-1424	IL_Hook-turn	-1
7RQB_1A:1514-1518_1564-1567	IL_Hook-turn	-1
7RQB_1A:1251-1258_1278-1282	IL_Kink-turn	1
7RQB_1A:78-82_94-101	IL_Kink-turn	-1
7RQB_1A:1827-1833_1842-1850	IL_Kink-turn	-1
7RQB_1A:1068-1074_1168-1183	IL_reverse-Kink-turn	3
7RQB_1A:1048-1055_1194-1195	IL_Rope-sling	3
7RQB_1A:175-180_189-195	IL_Sarcin-ricin	2
7RQB_1A:226-232_240-245	IL_Sarcin-ricin	2
7RQB_1A:2663-2668_2673-2677	IL_Sarcin-ricin	4
7RQB_1A:2855-2860_2873-2877	IL_Sarcin-ricin	-1
7RQB_1A:719-723_844-851	IL_Sarcin-ricin	2
7RQB_1A:2360-2363_2374-2377	IL_Tandem-shear	5
7RQB_1A:652-657	HL_GNAA	5
7RQB_1A:1893-1898	HL_GNAA	-1
7RQB_1A:1835-1840	HL_GNAA	2
7RQB_1A:998-1005	HL_GNAA	-1
7RQB_1A:2668-2673	HL_GNAA	4
7RQB_1A:2384-2389	HL_GNAA	-1
7RQB_1A:2864-2869	HL_GNAA	-1
7RQB_1A:1407-1412	HL_GNAA	2
7RQB_1A:1266-1271	HL_GNAA	-1
7RQB_1A:511-516	HL_GNGA	0
7RQB_1A:2604-2609	HL_GNGA	-1
7RQB_1A:486-491	HL_GNGA	-1
7RQB_1A:233-239	HL_GNGA	2
7RQB_1A:664-670	HL_GNGA	5
7RQB_1A:327-334	HL_T-loop	1
7RQB_1A:1325-1333	HL_T-loop	0
7RQB_1A:587-596	HL_T-loop	-1
