Motif	FamilyName	ClusterLabel
3J79_A:1113-1118_1174-1179	IL_C-loop	-1
3J79_A:3486-3490_3511-3515	IL_Hook-turn	-1
3J79_A:1680-1684_1727-1732	IL_Hook-turn	-1
3J79_A:1294-1298_1455-1459	IL_Hook-turn	-1
3J79_A:2448-2454_2465-2472	IL_Kink-turn	-1
3J79_A:1867-1873_1883-1889	IL_Kink-turn	-1
3J79_A:1535-1542_1562-1566	IL_Kink-turn	-1
3J79_A:1322-1332_1426-1440	IL_reverse-Kink-turn	-1
3J79_A:3723-3728_3758-3762	IL_Sarcin-ricin	-1
3J79_A:31-36_45-51	IL_Sarcin-ricin	0
3J79_A:81-88_96-102	IL_Sarcin-ricin	0
3J79_A:1592-1598_2646-2651	IL_Sarcin-ricin	-1
3J79_A:1692-1697	HL_GNAA	0
3J79_A:1782-1787	HL_GNAA	-1
3J79_A:1253-1259	HL_GNAA	-1
3J79_A:3082-3087	HL_GNAA	-1
3J79_A:2512-2517	HL_GNAA	-1
3J79_A:89-95	HL_GNGA	0
3J79_A:364-369	HL_GNGA	-1
3J79_A:3321-3326	HL_GNGA	-1
3J79_A:1550-1555	HL_GNGA	-1
3J79_A:1610-1618	HL_T-loop	-1
